symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base
0,85,honda,gas,std,four,sedan,fwd,front,96.5
0,85,honda,gas,std,four,sedan,fwd,front,96.5
1,107,honda,gas,std,two,sedan,fwd,front,96.5
0,?,isuzu,gas,std,four,sedan,rwd,front,94.3
1,?,isuzu,gas,std,two,sedan,fwd,front,94.5
0,?,isuzu,gas,std,four,sedan,fwd,front,94.5
2,?,isuzu,gas,std,two,hatchback,rwd,front,96
0,145,jaguar,gas,std,four,sedan,rwd,front,113
0,?,jaguar,gas,std,four,sedan,rwd,front,113
0,?,jaguar,gas,std,two,sedan,rwd,front,102
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1
1,113,mazda,gas,std,four,sedan,fwd,front,93.1
1,113,mazda,gas,std,four,sedan,fwd,front,93.1
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8
0,115,mazda,gas,std,four,sedan,fwd,front,98.8
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8
0,115,mazda,gas,std,four,sedan,fwd,front,98.8
0,?,mazda,diesel,std,?,sedan,fwd,front,98.8
0,115,mazda,gas,std,four,hatchback,fwd,front,98.8
0,118,mazda,gas,std,four,sedan,rwd,front,104.9
0,?,mazda,diesel,std,four,sedan,rwd,front,104.9
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6
-1,?,mercedes-benz,gas,std,four,sedan,rwd,front,115.6
3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6
0,?,mercedes-benz,gas,std,four,sedan,rwd,front,120.9
1,?,mercedes-benz,gas,std,two,hardtop,rwd,front,112
1,?,mercury,gas,turbo,two,hatchback,rwd,front,102.7
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7
1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93
3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3
3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3
1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3
1,128,nissan,gas,std,two,sedan,fwd,front,94.5
1,128,nissan,diesel,std,two,sedan,fwd,front,94.5
1,128,nissan,gas,std,two,sedan,fwd,front,94.5
1,122,nissan,gas,std,four,sedan,fwd,front,94.5
1,103,nissan,gas,std,four,wagon,fwd,front,94.5
1,128,nissan,gas,std,two,sedan,fwd,front,94.5
1,128,nissan,gas,std,two,hatchback,fwd,front,94.5
1,122,nissan,gas,std,four,sedan,fwd,front,94.5
1,103,nissan,gas,std,four,wagon,fwd,front,94.5
2,168,nissan,gas,std,two,hardtop,fwd,front,95.1
0,106,nissan,gas,std,four,hatchback,fwd,front,97.2
0,106,nissan,gas,std,four,sedan,fwd,front,97.2
0,128,nissan,gas,std,four,sedan,fwd,front,100.4
0,108,nissan,gas,std,four,wagon,fwd,front,100.4
0,108,nissan,gas,std,four,sedan,fwd,front,100.4
3,194,nissan,gas,std,two,hatchback,rwd,front,91.3
3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3
1,231,nissan,gas,std,two,hatchback,rwd,front,99.2
0,161,peugot,gas,std,four,sedan,rwd,front,107.9
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9
0,?,peugot,gas,std,four,wagon,rwd,front,114.2
0,?,peugot,diesel,turbo,four,wagon,rwd,front,114.2
0,161,peugot,gas,std,four,sedan,rwd,front,107.9
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9
0,?,peugot,gas,std,four,wagon,rwd,front,114.2
0,?,peugot,diesel,turbo,four,wagon,rwd,front,114.2
0,161,peugot,gas,std,four,sedan,rwd,front,107.9
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9
0,161,peugot,gas,turbo,four,sedan,rwd,front,108
1,119,plymouth,gas,std,two,hatchback,fwd,front,93.7
1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7
1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7
-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3
3,?,plymouth,gas,turbo,two,hatchback,rwd,front,95.9
3,186,porsche,gas,std,two,hatchback,rwd,front,94.5
3,?,porsche,gas,std,two,hardtop,rwd,rear,89.5
3,?,porsche,gas,std,two,hardtop,rwd,rear,89.5
3,?,porsche,gas,std,two,convertible,rwd,rear,89.5
1,?,porsche,gas,std,two,hatchback,rwd,front,98.4
0,?,renault,gas,std,four,wagon,fwd,front,96.1
2,?,renault,gas,std,two,hatchback,fwd,front,96.1
3,150,saab,gas,std,two,hatchback,fwd,front,99.1
2,104,saab,gas,std,four,sedan,fwd,front,99.1
3,150,saab,gas,std,two,hatchback,fwd,front,99.1
2,104,saab,gas,std,four,sedan,fwd,front,99.1
3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1
2,104,saab,gas,turbo,four,sedan,fwd,front,99.1
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7
2,83,subaru,gas,std,two,hatchback,4wd,front,93.3
0,102,subaru,gas,std,four,sedan,fwd,front,97.2
0,102,subaru,gas,std,four,sedan,fwd,front,97.2
0,102,subaru,gas,std,four,sedan,fwd,front,97.2
0,102,subaru,gas,std,four,sedan,4wd,front,97
0,102,subaru,gas,turbo,four,sedan,4wd,front,97
0,89,subaru,gas,std,four,wagon,fwd,front,97
0,89,subaru,gas,std,four,wagon,fwd,front,97
0,85,subaru,gas,std,four,wagon,4wd,front,96.9
0,85,subaru,gas,turbo,four,wagon,4wd,front,96.9
1,87,toyota,gas,std,two,hatchback,fwd,front,95.7
1,87,toyota,gas,std,two,hatchback,fwd,front,95.7
1,74,toyota,gas,std,four,hatchback,fwd,front,95.7
0,77,toyota,gas,std,four,wagon,fwd,front,95.7
0,81,toyota,gas,std,four,wagon,4wd,front,95.7
0,91,toyota,gas,std,four,wagon,4wd,front,95.7
0,91,toyota,gas,std,four,sedan,fwd,front,95.7
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7
0,91,toyota,diesel,std,four,sedan,fwd,front,95.7
0,91,toyota,diesel,std,four,hatchback,fwd,front,95.7
0,91,toyota,gas,std,four,sedan,fwd,front,95.7
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7
0,91,toyota,gas,std,four,sedan,fwd,front,95.7
1,168,toyota,gas,std,two,sedan,rwd,front,94.5
1,168,toyota,gas,std,two,hatchback,rwd,front,94.5
1,168,toyota,gas,std,two,sedan,rwd,front,94.5
1,168,toyota,gas,std,two,hatchback,rwd,front,94.5
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4
2,134,toyota,gas,std,two,hatchback,rwd,front,98.4
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4
2,134,toyota,gas,std,two,hatchback,rwd,front,98.4
2,134,toyota,gas,std,two,convertible,rwd,front,98.4
-1,65,toyota,gas,std,four,sedan,fwd,front,102.4
-1,65,toyota,diesel,turbo,four,sedan,fwd,front,102.4
-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4
-1,65,toyota,gas,std,four,sedan,fwd,front,102.4
-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4
3,197,toyota,gas,std,two,hatchback,rwd,front,102.9
3,197,toyota,gas,std,two,hatchback,rwd,front,102.9
-1,90,toyota,gas,std,four,sedan,rwd,front,104.5
-1,?,toyota,gas,std,four,wagon,rwd,front,104.5
2,122,volkswagen,diesel,std,two,sedan,fwd,front,97.3
2,122,volkswagen,gas,std,two,sedan,fwd,front,97.3
2,94,volkswagen,diesel,std,four,sedan,fwd,front,97.3
2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3
2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3
2,94,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3
2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3
3,?,volkswagen,gas,std,two,convertible,fwd,front,94.5
3,256,volkswagen,gas,std,two,hatchback,fwd,front,94.5
0,?,volkswagen,gas,std,four,sedan,fwd,front,100.4
0,?,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4
0,?,volkswagen,gas,std,four,wagon,fwd,front,100.4
-2,103,volvo,gas,std,four,sedan,rwd,front,104.3
-1,74,volvo,gas,std,four,wagon,rwd,front,104.3
-2,103,volvo,gas,std,four,sedan,rwd,front,104.3
-1,74,volvo,gas,std,four,wagon,rwd,front,104.3
-2,103,volvo,gas,turbo,four,sedan,rwd,front,104.3
-1,74,volvo,gas,turbo,four,wagon,rwd,front,104.3
-1,95,volvo,gas,std,four,sedan,rwd,front,109.1
-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1
-1,95,volvo,gas,std,four,sedan,rwd,front,109.1
-1,95,volvo,diesel,turbo,four,sedan,rwd,front,109.1
-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1
